R,G,B,Label
44.3978,71.8082,42.4551,0
42.9866,67.0876,35.9903,0
42.189,63.5094,32.4436,0
38.0983,44.2466,15.8,0
38.2071,55.7503,23.8798,0
32.2706,37.4279,13.863,0
29.6428,29.5333,7.1019,0
27.923,40.9247,17.5945,0
29.2995,69.9336,41.0025,0
28.7448,65.8137,45.7319,0
26.6877,72.5821,54.4924,0
28.0911,76.457,56.9627,0
45.0607,101.7728,84.8201,0
37.5451,78.5475,48.3059,0
35.8983,51.7593,17.4743,0
24.4967,32.9218,6.6875,0
22.9846,36.6224,12.5651,0
24.6592,72.6545,70.216,0
20.5436,72.7088,70.7892,0
27.0965,111.2342,99.9451,0
30.5558,79.2886,52.6734,0
23.6849,34.1858,7.4179,0
27.1233,53.2854,26.8432,0
28.0042,63.2499,40.4066,0
22.8816,52.1143,28.2447,0
26.2291,64.9199,48.7945,0
28.0424,89.8742,78.4977,0
35.4434,96.2602,73.7939,0
32.6439,64.8172,39.2461,0
30.406,74.8592,51.3462,0
33.8613,70.3083,44.9786,0
33.3676,71.0908,46.7283,0
33.2165,79.2373,56.4838,0
36.4921,81.9595,57.8183,0
31.1729,52.0608,23.9839,0
35.2549,73.0856,50.6488,0
33.7344,57.9463,26.5237,0
31.4873,63.1867,40.2824,0
42.5831,92.2674,80.3128,0
35.6038,45.4098,21.6711,0
46.7256,95.9358,63.6452,0
38.6656,53.8308,24.2149,0
39.6896,55.8653,25.3344,0
38.4906,57.3187,30.521,0
32.4341,40.5857,12.0743,0
25.1378,24.5331,3.4485,0
28.3852,37.8229,12.3671,0
28.877,70.2493,49.3431,0
28.9791,76.3201,58.0857,0
30.1945,73.671,57.8077,0
29.7322,60.2289,38.4371,0
22.2082,48.2903,34.3151,0
30.2578,80.7761,62.1647,0
25.6982,53.7265,33.1219,0
23.8912,39.1514,18.3827,0
21.8757,38.9339,34.0766,0
27.0279,73.8164,74.93,0
24.2941,77.2275,71.6553,0
25.8586,82.0356,62.1726,0
23.2803,43.8925,20.4245,0
22.9743,57.0244,35.8844,0
29.0887,71.2238,43.7829,0
26.4499,63.2302,41.4602,0
26.6823,67.6258,47.8595,0
21.2737,52.5943,35.0648,0
25.7058,78.4963,56.5304,0
29.3893,75.2829,51.2682,0
32.8338,65.4369,40.0477,0
26.9242,51.4957,27.1648,0
27.694,53.1916,25.5942,0
28.1592,51.5894,27.0632,0
35.0708,91.9037,72.8336,0
30.8478,62.5476,39.1557,0
28.468,52.3817,29.5358,0
21.318,22.5332,2.8788,0
30.5739,58.3492,34.6353,0
41.1452,128.5809,117.4289,0
29.5936,52.999,33.3694,0
35.5107,39.7604,16.2955,0
36.1147,48.1936,24.9409,0
32.8233,40.8436,16.7452,0
37.3839,66.5298,42.7755,0
31.6702,44.4014,17.837,0
32.9214,55.8861,31.0135,0
30.0794,38.2906,13.0768,0
32.9263,72.6322,49.4632,0
30.8351,83.6154,64.4227,0
29.5579,61.685,36.9708,0
38.2512,94.8711,81.4295,0
21.8921,44.2203,23.7497,0
26.0638,58.1466,37.5591,0
25.4896,53.7868,26.8479,0
25.5402,56.5177,30.9861,0
21.5159,36.5758,16.8308,0
23.7024,60.8382,46.7749,0
29.1568,70.7548,51.2364,0
29.2169,66.1059,44.019,0
25.3154,58.9251,36.5875,0
24.732,48.8942,23.5669,0
23.6244,48.046,26.4657,0
29.3505,83.3982,60.5267,0
31.2396,83.6584,63.6904,0
30.9926,92.7854,69.7747,0
28.6516,58.3089,32.2198,0
25.5608,48.8261,21.6674,0
26.9399,52.2101,24.7758,0
37.1623,80.3797,54.4179,0
28.2593,51.281,24.4321,0
28.1585,51.2703,24.2667,0
30.1892,58.2014,31.3729,0
34.095,82.7278,57.2364,0
32.0673,57.4778,31.9078,0
32.9688,62.8265,41.7857,0
25.8047,35.667,11.7858,0
28.5062,57.1316,31.5051,0
54.986,118.543,121.4649,0
43.6641,101.2795,90.23,0
36.3551,43.0887,15.3202,0
45.3794,77.4758,48.6735,0
39.373,70.1888,42.1068,0
31.7857,47.222,24.5812,0
30.9358,48.1818,21.3554,0
31.6256,65.9996,43.9092,0
30.1653,58.223,34.7578,0
34.6027,95.0871,70.9019,0
27.198,78.425,56.3289,0
25.5521,59.3628,37.5151,0
24.8849,92.0988,80.9795,0
32.7956,64.4396,46.46,0
27.7837,54.2856,28.3246,0
20.7706,34.5004,6.2908,0
22.2355,33.7605,10.6432,0
25.206,76.728,60.228,0
23.5073,65.1128,48.449,0
20.3374,49.0767,31.5179,0
19.0818,23.7077,5.627,0
19.6489,28.058,5.7928,0
22.2389,80.3504,63.4051,0
24.904,59.5397,38.502,0
26.758,92.1017,76.5092,0
30.1784,88.1845,71.0915,0
29.9599,74.401,47.3898,0
25.3161,35.8947,12.7047,0
26.0811,45.8821,22.3121,0
27.1671,45.4933,20.8124,0
30.5546,70.7318,46.2872,0
30.9102,64.0273,38.6322,0
28.0782,44.1265,16.5297,0
30.127,58.6479,30.955,0
30.4785,59.2027,35.5532,0
34.2522,74.1858,55.3012,0
33.4089,82.3905,62.3931,0
28.7364,34.1853,7.3501,0
29.2993,45.8459,20.407,0
41.6196,86.6303,59.6839,0
29.1108,61.7227,37.0102,0
37.5183,44.4387,15.5186,0
40.3467,73.398,44.4177,0
44.051,94.0298,65.2333,0
39.3409,56.3202,26.0107,0
32.8422,40.3592,11.9019,0
26.8655,43.8578,21.6043,0
34.3751,98.8363,73.6052,0
28.4164,80.8234,53.9278,0
26.2082,60.94,34.71,0
24.0845,48.3371,27.7449,0
24.2672,70.3308,54.753,0
24.2044,59.1653,43.7376,0
22.5194,32.8632,9.9697,0
27.0036,36.4824,8.5609,0
18.5235,20.9218,1.9806,0
20.7176,76.1304,68.7756,0
18.7471,57.1509,41.3853,0
21.4371,37.1733,16.6881,0
19.3454,23.8596,3.7045,0
19.5367,23.8914,4.5029,0
22.9528,49.2637,28.4385,0
25.0408,55.8155,34.6381,0
27.8977,87.1458,72.1005,0
31.6498,74.3673,49.9557,0
30.268,56.0917,24.5889,0
29.6884,44.3491,15.1206,0
30.4121,46.0637,16.4097,0
32.8094,58.9554,32.3586,0
32.3421,54.9664,30.3571,0
31.2994,51.5113,20.3133,0
27.5143,47.6723,24.8848,0
28.0371,55.44,34.7431,0
37.7073,88.0075,63.735,0
30.2813,56.7035,33.9408,0
31.8532,65.8468,43.7443,0
29.5374,47.4082,21.3963,0
32.0157,51.3689,24.5529,0
39.475,74.2103,46.7178,0
40.4162,88.5976,62.6238,0
73.2095,82.8288,57.1051,1
58.2887,73.4279,46.767,1
45.3681,84.7523,62.0274,0
39.7986,76.4825,52.3713,0
39.0555,71.331,43.3671,0
30.6866,51.1823,24.1902,0
28.8445,76.0345,52.1967,0
28.8455,77.9857,59.8291,0
